No,video name,video link,video description,video description(ENG),examplefilename,examplefile download link,classification,Key,O X,sample,dubbing,caption
46,$p - openPopup() & getParameter(),https://youtu.be/yY6C3uO08sM,"$p.openPopup() 함수를 통해 팝업을 생성할 때, dataObject를 통해 파라미터를 팝업에 전달하고, 전달받은 파라미터는 생성한 팝업창에서 $p.getParameger() 함수로 확인. ","Pass parameters to the popup created by $p.openPopup() through the use of dataObject, and check the received parameters using $p.getParameter() in the popup. ",/$p/PopUp/getParameter_$p_openPopup_$p/,https://inswave.com/confluence/download/attachments/17110122/getParameter_%24p_openPopup_%24p.zip?version=1&modificationDate=1648709818306&api=v2,$p,getParameter_$p_openPopup_$p,Sample O Dubbing X,O,,
47,TabControl - addTab() & $p.getParamater(),https://youtu.be/R_Gx8twsrp0,"addTab() 함수를 통해 탭을 생성할 때, dataObject를 통해 파라미터를 새로 생성하는 탭에 전달하고, 전달받은 파라미터는 새로 생성한 탭에서 $p.getParameger() 함수로 확인. ","Pass parameters to the tab created by addTab() through the use of dataObject, and check the received parameters using $p.getParameter() in the created tab. ",/TabControl/getParameter_$p_addTab_TabControl/,https://inswave.com/confluence/download/attachments/17110132/getParameter_%24p_addTab_TabControl.zip?version=1&modificationDate=1648712362270&api=v2,TabControl,getParameter_$p_addTab_TabControl,Sample O Dubbing X,O,,
48,WindowContainer - createWindow() & $p.getParamater(),https://youtu.be/hgfUlUyt31Y,"createWindow() 함수를 통해 윈도우를을 생성할 때, dataObject를 통해 파라미터를 새로 생성하는 윈도우에 전달하고, 전달받은 파라미터는 새로 생성한 윈도우에서 $p.getParameger() 함수로 확인. ","Pass parameters to the window created by createWindow() through the use of dataObject, and check the received parameters using $p.getParameter() in the created window.",/WindowContainer/getParameter_$p_createWindow_WindowContainer/,https://inswave.com/confluence/download/attachments/17110084/getParameter_%24p_createWindow_WindowContainer.zip?version=1&modificationDate=1648712524299&api=v2,WindowContainer,getParameter_$p_createWindow_WindowContainer,Sample O Dubbing X,O,,
49,WFrame - setSrc() & $p.getParamater(),https://youtu.be/oZiKikUfE1A,"setSrc() 함수를 통해 WFrame 화면을 설정할 때, dataObject를 통해 파라미터를 새로 설정하는 화면에 전달하고, 전달받은 파라미터는 새로 설정한 화면에서 $p.getParameger() 함수로 확인. ","Pass parameters to the page within the WFrame set by setSrc() through the use of dataObject, and check the received parameters using $p.getParameter() in the page.",/WFrame/getParameter_$p_setSrc_WFrame/,https://inswave.com/confluence/download/attachments/17110102/getParameter_%24p_setSrc_WFrame.zip?version=1&modificationDate=1648712649365&api=v2,WFrame,getParameter_$p_setSrc_WFrame,Sample O Dubbing X,O,,
50,gridView.column - useFilter & useFilterList (GridView) ,https://youtu.be/2Fzwxj5d7SU,"컬럼에 필터링 기능을 적용하고, 필터링 아이콘을 클릭하면 필터 항목을 목록으로 표시. ",Enable column filtering and display filter items on a list upon the filter icon being clicked. ,/GridView/Filtering/useFilter_gridView_column_useFilterList_GridView.pdf,,GridView,useFilter_gridView_column_useFilterList_GridView,Sample X Dubbing X,,,
51,LinkedDataList - setCondition(),https://youtu.be/aaB2U-mlFXA,LinkedDataList의 필터링 혹은 정렬 조건을 설정. ,Set the filtering or sorting conditions of the LinkedDataList. ,/_DataCollection/setCondition_LinkedDataList.pdf,,DataCollection,setCondition_LinkedDataList,Sample X Dubbing X,,,
52,LinkedDataList - getFilteredRowIndex(),https://youtu.be/xbtkTRYbHq4,"필터링을 수행한 이후, 필터링된 데이터의 행 인덱스를 반환. ",Return the index of the row after the DataLIst data is filtered. ,/_DataCollection/getFilteredRowIndex_LinkedDataList.pdf,,DataCollection,getFilteredRowIndex_LinkedDataList,Sample X Dubbing X,,,
53,InputBox - dataType & displayFormat,https://youtu.be/ijYnYvNdlSE,시간 및 날짜 입력 방식을 지정. ,Define time and date display formats. ,/InputBox/dataType_displayFormat_InputBox.pdf,,InputBox,dataType_displayFormat_InputBox,Sample X Dubbing X,,,
54,"InputBox - dataType=""number"" & displayFormat",https://youtu.be/BuRyN4ZxtfY,소수점 숫자의 반올림 및 무조건 올림. ,Round or ceil decimal numbers. ,/InputBox/dataType_number_displayFormat_InputBox.pdf,,InputBox,dataType_number_displayFormat_InputBox,Sample X Dubbing X,,,
55,"InputBox - dataType=""text"" & displayFormatter",https://youtu.be/OsS9j06q5ME,알파벳 소문자를 대문자로 변환.,Capitalize alphabet characters inputted in the InputBox.,/InputBox/dataType_text_displayFormatter_InputBox.pdf,,InputBox,dataType_text_displayFormatter_InputBox,Sample X Dubbing X,,,
56,Studio - Getting Started,https://youtu.be/txhXLLphqCA,"웹스퀘어 스튜디오 시작 후, 웹스퀘어 프로젝트 및 페이지 생성. ",Start Studio and create WebSquare projects and pages. ,/_Studio/Common/getting_started_Studio.pdf,,Studio,getting_started_Studio,Sample X Dubbing X,,,
57,Studio - Help & Perspective,https://youtu.be/HmwVWyaxZEc,"F1 버튼을 눌러 도움말 확인 & Perspective 선택 및 복구.
","Check Help by pressing F1, and choose perspectives. ",/_Studio/Common/help_perspective_Studio.pdf,,Studio,help_perspective_Studio,Sample X Dubbing X,,,
58,Studio - Static & Absolute Drawing Modes,https://youtu.be/5-aBC8siCO8,그리기 모드 비교 (Absolute Vs. Static),Drawing Modes (Static Vs. Absolute),/_Studio/Common/static_absolute_drawing_mode_Studio.pdf,,Studio,static_absolute_drawing_mode_Studio,Sample X Dubbing X,,,
59,Studio - Drawing Components,https://youtu.be/8b9dflHhoDg,일반적인 컴포넌트 그리기 순서 이해하기.,Describes how to draw WebSquare components step-by-step. ,/_Studio/Common/drawing_components_Studio.pdf,,Studio,drawing_components_Studio,Sample X Dubbing X,,,
60,Studio - Viewing on Browsers,https://youtu.be/uvP7ZkEogRc,기본 브라우저를 설정하고 기본 브라우저에서 페이지 확인하기. ,Set a default browser and view pages on the default browser. ,/_Studio/Common/viewing_on_browsers_Studio.pdf,,Studio,viewing_on_browsers_Studio,Sample X Dubbing X,,,
61,Design - margin & padding,https://youtu.be/E-sD18OcQeo,margin과 padding 비교.,margin Vs. padding,/_Design/margin_padding_Design.pdf,,디자인,margin_padding_Design,Sample X Dubbing X,,,
62,Design - Block-level Element Styling,https://youtu.be/4zKSSpysYrs,Block-level 요소의 스타일링 팁.,Block-level element styling tips.,/_Design/block_styling_Design.pdf,,디자인,block_styling_Design,Sample X Dubbing X,,,
63,Design - flow & overflow,https://youtu.be/IOdC3sdYK48,float 및 overflow 설명.,flow & overflow CSS tips.,/_Design/float_overflow_Design.pdf,,디자인,float_overflow_Design,Sample X Dubbing X,,,
64,Studio - Searching components and properties,https://youtu.be/D1N7hJB6DeE,Studio에서 컴포넌트와 속성을 검색. ,Search components and properties. ,/_Studio/Common/component_property_search_Studio.pdf,,Studio,component_property_search_Studio,Sample X Dubbing X,,,
65,Design - Adding CSS,https://youtu.be/91i3KVMdIMU,CSS를 적용하는 3가지 방법. ,3 ways to apply CSS.,/_Design/adding_CSS_Design.pdf,,디자인,adding_CSS_Design,Sample X Dubbing X,,,
66,Studio - Adding events,https://youtu.be/ssuLp4x0cjA,웹스퀘어5 컴포넌트에 이벤트 추가. JS 코드를 작성하여 동작 추가.,Add events to the WebSquare5 component. Write JS code and add actions to your web.,/_Studio/Common/adding_events_Studio.pdf,,Studio,adding_events_Studio,Sample X Dubbing X,,,
67,Studio - Adding snippets,https://youtu.be/4RTDZwFc8Ic,스니핏 추가 방법.,Adding snippets.,/_Studio/Common/adding_snippets_Studio.pdf,,Studio,adding_snippets_Studio,Sample X Dubbing X,,,
68,WFrame - page,https://youtu.be/_hxZ7iKLy5o,웹스퀘어 페이지 설명. ,WebSquare page.,/WFrame/page_WFrame.pdf,,WFrame,page_WFrame,Sample X Dubbing X,,,
69,Selection Components,https://youtu.be/U--QTIHu6SQ,단일 선택 vs. 다중 선택,Single choice Vs. Multiple choices,/AutoComplete/AutoComplete_Radio_SelectBox_Spinner_CheckBox_CheckComboBox_MultiSelect.pdf,,"Autocomplete
Radio
SelectBox
Spinner
ChekBox
CheckComboBox
MultiSelect",AutoComplete_Radio_SelectBox_Spinner_CheckBox_CheckComboBox_MultiSelect,Sample X Dubbing X,,,
70,AutoComplete_GridView - ItemSet & chooseOption & chooseOptionLabel,https://youtu.be/x40RQUFAS3c,ItemSet을 통한 선택 항목 직접 입력하고 선택 안내 메시지 표시.,Directly enter selection items and display a selection guide message. ,/AutoComplete/ItemSet_chooseOption_chooseOptionLabel_AutoComplete_SelectBox.pdf,,"AutoComplete
SelectBox",ItemSet_chooseOption_chooseOptionLabel_AutoComplete_SelectBox,Sample X Dubbing X,,,
71,CheckBox - Span Direction & Span Count & cols & rows,https://youtu.be/oWlUmnfkBeA,"선택 항목을 직접 입력하고, 선택 항목을 표시하는 방법을 설정. ","Directly enter selection items, and decide how to display them. ",/CheckBox/SpanDirection_SpanCount_cols_rows_CheckBox.pdf,,CheckBox,SpanDirection_SpanCount_cols_rows_CheckBox,Sample X Dubbing X,,,
72,Radio - Span Direction & Span Count & cols & rows,https://youtu.be/BKklquqXTEU,"선택 항목을 직접 입력하고, 선택 항목을 표시하는 방법을 설정. ","Directly enter selection items, and decide how to display them. ",/Radio/SpanDirection_SpanCount_cols_rows_Radio.pdf,,Radio,SpanDirection_SpanCount_cols_rows_Radio,Sample X Dubbing X,,,
73,CheckComboBox - ItemSet,https://youtu.be/gDMHA9y-JOg ,선택 항목을 직접 입력하여 설정. ,Directly enter the selection items. ,/CheckComboBox/ItemSet_CheckComboBox.pdf,,CheckComboBox,ItemSet_CheckComboBox,Sample X Dubbing X,,,
74,CheckComboBox - allOption & chooseOption & chooseOptionLabel,https://youtu.be/Kk7D_8F6kOY,"“전체 선택” 및 선택 안내 메시지 표시. 
",Display “Select all.” and a selection guide message.,/CheckComboBox/allOption_chooseOption_chooseOptionLabel_CheckComboBox.pdf,,CheckComboBox,allOption_chooseOption_chooseOptionLabel_CheckComboBox,Sample X Dubbing X,,,
75,DataList - Introduction,https://youtu.be/Anng4uPDCB8,"DataList 생성, 복사, 삭제.","Create, copy, or delete DataList.",/_DataCollection/introduction_DataList.xml,https://inswave.com/confluence/download/attachments/17110086/introduction_DataList.xml?version=1&modificationDate=1651797434275&api=v2,DataCollection,introduction_DataList,Sample O Dubbing X,O,,
76,Radio - BindItemSet & SpanDirection & SpanCount & cols & rows,https://youtu.be/x7-bFBOgsbc,DataList와 바인딩하여 선택 항목을 설정.,Bind with a DataList to set the selection items.,/Radio/BindItemSet_SpanDirection_SpanCount_cols_rows_Radio.xml,https://inswave.com/confluence/download/attachments/17110096/BindItemSet_SpanDirection_SpanCount_cols_rows_Radio.xml?version=1&modificationDate=1651801187550&api=v2,Radio,BindItemSet_SpanDirection_SpanCount_cols_rows_Radio,Sample O Dubbing X,O,,
77,SelectBox - BindItemSet,https://youtu.be/2iVpPuzEdro,DataList와 바인딩하여 선택 항목을 설정.,Bind with a DataList to set the selection items.,/SelectBox/BindItemSet_SelectBox.xml,https://inswave.com/confluence/download/attachments/17110092/BindItemSet_SelectBox.xml?version=1&modificationDate=1651802854587&api=v2,SelectBox,BindItemSet_SelectBox,Sample O Dubbing X,O,,
78,AutoComplete - BindItemSet & allOption & chooseOption & chooseOptionLabel,https://youtu.be/n5T5uTVtJE4,DataList와 바인딩하여 선택 항목을 설정.,Bind with a DataList to set the selection items.,/AutoComplete/BindItemSet_allOption_chooseOption_chooseOptionLabel_AutoComplete.xml,https://inswave.com/confluence/download/attachments/17110094/BindItemSet_allOption_chooseOption_chooseOptionLabel_AutoComplete.xml?version=1&modificationDate=1651803428683&api=v2,AutoComplete,BindItemSet_allOption_chooseOption_chooseOptionLabel_AutoComplete,Sample O Dubbing X,O,,
79,AutoComplete Vs. SelectBox,https://youtu.be/j7CPUsTpO-c,AutoComplete와 SelectBox 비교,AutoComplete Vs. SelectBox,/AutoComplete/AutoComplete_SelectBox.pdf,,"AutoComplete
SelectBox",AutoComplete_SelectBox,Sample X Dubbing X,,,
80,CheckBox - BindItemSet,https://youtu.be/lVMQGUW8HS0,DataList와 바인딩하여 선택 항목을 설정.,Bind with a DataList to set the selection items.,/CheckBox/BindItemSet_CheckBox/,https://inswave.com/confluence/download/attachments/17110110/BindItemSet_CheckBox.zip?version=1&modificationDate=1652058396761&api=v2,CheckBox,BindItemSet_CheckBox,Sample O Dubbing X,O,,
